,ActSat Number Participation,ApCourse Participation,ApCourse Passed,Asian,"Black, non-Hispanic",FreeAnd Reduced PriceLunch,Hispanic,Id,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Percent Teachers InFirst SecondYear,Plan504,Sname,"White, non-Hispanic",Year,index
1969,426,50.9,1930,41.2698,3.1746,5.88,4.7619,10173,12.6984,0.0,0.0,4.9,1,Living Wisdom School Of Palo Alto,38.0952,2016,
1970,426,50.9,1930,0.0,0.0,5.88,0.0,31586,0.0,0.0,0.0,4.9,1,Meira Academy,100.0,2016,
1971,0,0,1930,32.26,0.0,9.68,32.26,12604,0.0,0.0,3.23,0,0,Packard Children's Hospital/Stanford,32.26,2016,
1972,425,46.3,1377,31.19,3.31,6.82,9.38,5617,5.47,0.65,1.05,5.1,1.6,Palo Alto High School,48.95,2016,
1973,218,51.8,460,5.62,3.31,55.75,72.88,5675,1.84,0.58,0.47,13.2,3.9,Abraham Lincoln High School,15.29,2016,
1974,218,0,460,0.37,0.0,95.88,97.75,27108,1.12,0.0,0.0,13.2,3.9,Ace Charter High,0.75,2016,
1975,218,0,460,19.6078,3.92157,95.88,31.3725,15116,1.96078,0.0,7.84314,13.2,3.9,Achievekids School,35.2941,2016,
1976,218,0,460,10.2,0.0,90.48,85.03,32220,2.72,0.68,0.0,13.2,3.9,Alpha: Cindy Avitia High,1.36,2016,
1977,300,16.4,166,35.99,1.96,63.39,58.95,5455,0.26,0.21,0.47,17.3,0.3,Andrew P. Hill High School,2.17,2016,
1978,2,16.4,166,7.84,0.65,84.97,86.93,5452,1.31,0.0,1.96,12.5,0,Apollo High School,1.31,2016,
1979,2,16.4,166,16.7464,18.1818,84.97,11.9617,10644,12.9187,0.0,0.0,12.5,0,Apostles Lutheran,40.1914,2016,
1980,2,16.4,166,83.3333,4.16667,84.97,0.0,30572,0.0,0.0,0.0,12.5,0,As-Safa Institute/As-Safa Academy,12.5,2016,
1981,2,16.4,166,0.0,0.0,96.3,97.53,32219,1.23,0.0,0.0,12.5,0,B. Roberto Cruz Leadership Academy,1.23,2016,
1982,2,16.4,166,2.17391,21.7391,96.3,43.4783,26338,0.0,0.0,0.0,12.5,0,Beacon School,32.6087,2016,
1983,17,16.4,166,9.22,3.9,23.4,52.13,5423,5.67,0.0,0.71,0,1.4,Boynton High School,28.37,2016,
1984,112,40.8,455,14.66,2.58,11.76,27.01,11149,3.76,0.4,0.86,7.3,0.9,Branham High School,50.73,2016,
1985,0,40.8,455,2.99,3.85,57.26,82.05,5653,1.28,0.85,0.43,15.5,4.1,Broadway High School,8.55,2016,
1986,0,0,455,23.43,3.71,50.57,58.57,31076,0.86,0.29,0.86,15.5,4.1,Calero High,12.29,2016,
1987,0,0,455,66.6667,2.66667,50.57,4.0,25293,0.0,0.0,0.0,15.5,4.1,Cambrian Academy,26.6667,2016,
1988,0,0,455,0.0,5.88,29.41,58.82,14376,5.88,5.88,0.0,0,3.8,Camden Community Day School,23.53,2016,
1989,0,0,455,0.0,0.0,29.41,0.0,16663,0.0,0.0,0.0,0,3.8,Christ The King Academy,100.0,2016,
1990,0,0,455,3.5,7.69,81.12,78.32,14162,1.4,0.0,0.7,0,0.3,County Community School,8.39,2016,
1991,0,0,455,3.2,1.2,81.12,90.0,32547,0.0,0.0,0.0,0,0.3,Cristo Rey San Jose High School,5.6,2016,
1992,77,24.1,156,8.23,4.71,40.53,64.87,5424,4.54,0.09,0.86,10.6,0.6,Del Mar High School,16.71,2016,
1993,77,21,40,1.5,0.9,86.23,93.41,11869,2.4,0.3,0.0,10.6,0.6,Downtown College Preparatory School,1.5,2016,
1994,77,21,40,38.1395,3.72093,86.23,28.3721,9667,12.5581,0.0,8.83721,10.6,0.6,East Valley Christian School,8.37209,2016,
1995,77,0,40,0.0,1.02,89.06,97.2,12238,0.51,1.27,0.0,10.6,0.6,Escuela Popular Accelerated Family Learning School,0.0,2016,
1996,77,0,40,0.0,0.0,46.8,99.75,14688,0.25,0.0,0.0,10.6,0.6,"Escuela Popular/Center For Training And Careers, Family Learning",0.0,2016,
1997,531,45.2,1396,73.55,1.5,16.98,18.05,12237,1.89,0.04,0.43,1.1,0.3,Evergreen Valley High School,4.56,2016,
1998,6,0.3,1396,5.04,2.67,70.62,86.05,5453,1.19,0.3,1.19,0,0.6,Foothill High School,3.56,2016,
1999,81,41,112,13.28,7.5,54.11,60.89,5667,2.53,0.72,0.0,19.2,2.9,Gunderson High School,15.09,2016,
2000,407,29.2,677,56.6,2.59,52.12,35.61,5456,0.94,0.34,0.54,3.4,0.1,Independence High School,3.37,2016,
