Year,Rtype,Sname,Dname,Cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
2014,D,,Cotati-Rohnert Park Unified,Sonoma,473,73,25.0,25.0,24.0,24.0,55,75.34
2014,S,Technology High,Cotati-Rohnert Park Unified,Sonoma,61,36,26.0,27.0,27.0,27.0,32,88.89
2014,S,Rancho Cotate High,Cotati-Rohnert Park Unified,Sonoma,386,37,23.0,24.0,22.0,22.0,23,62.16
2014,D,,Windsor Unified,Sonoma,451,77,23.0,23.0,22.0,22.0,50,64.94
2014,S,Windsor High,Windsor Unified,Sonoma,404,77,23.0,23.0,22.0,22.0,50,64.94
2014,D,,Healdsburg Unified,Sonoma,176,46,21.0,22.0,22.0,22.0,28,60.87
2014,S,Healdsburg High,Healdsburg Unified,Sonoma,171,46,21.0,22.0,22.0,22.0,28,60.87
2014,C,,,Stanislaus,8386,1270,20.0,22.0,22.0,21.0,662,52.13
2014,D,,Ceres Unified,Stanislaus,978,198,17.0,18.0,19.0,19.0,57,28.79
2014,S,Central Valley High,Ceres Unified,Stanislaus,389,96,17.0,18.0,19.0,20.0,33,34.38
2014,S,Ceres High,Ceres Unified,Stanislaus,362,99,16.0,18.0,19.0,18.0,22,22.22
2014,D,,Modesto City High,Stanislaus,3702,696,21.0,22.0,22.0,21.0,390,56.03
2014,S,James C. Enochs High,Modesto City High,Stanislaus,555,188,23.0,23.0,23.0,22.0,124,65.96
2014,S,Joseph A. Gregori High,Modesto City High,Stanislaus,442,73,21.0,22.0,22.0,22.0,42,57.53
2014,S,Fred C. Beyer High,Modesto City High,Stanislaus,555,77,22.0,23.0,23.0,22.0,50,64.94
2014,S,Peter Johansen High,Modesto City High,Stanislaus,395,80,19.0,20.0,20.0,20.0,27,33.75
2014,S,Grace M. Davis High,Modesto City High,Stanislaus,348,50,19.0,20.0,20.0,20.0,20,40.0
2014,S,Thomas Downey High,Modesto City High,Stanislaus,475,74,20.0,21.0,22.0,21.0,39,52.7
2014,S,Modesto High,Modesto City High,Stanislaus,562,154,21.0,23.0,22.0,21.0,88,57.14
2014,D,,Patterson Joint Unified,Stanislaus,459,34,20.0,21.0,21.0,20.0,19,55.88
2014,S,Patterson High,Patterson Joint Unified,Stanislaus,367,34,20.0,21.0,21.0,20.0,19,55.88
2014,D,,Newman-Crows Landing Unified,Stanislaus,193,40,17.0,19.0,20.0,19.0,11,27.5
2014,S,Orestimba High,Newman-Crows Landing Unified,Stanislaus,166,40,17.0,19.0,20.0,19.0,11,27.5
2014,D,,Hughson Unified,Stanislaus,179,30,21.0,23.0,23.0,22.0,19,63.33
2014,S,Hughson High,Hughson Unified,Stanislaus,166,30,21.0,23.0,23.0,22.0,19,63.33
2014,D,,Riverbank Unified,Stanislaus,213,23,19.0,20.0,21.0,21.0,14,60.87
2014,S,Riverbank High,Riverbank Unified,Stanislaus,161,23,19.0,20.0,21.0,21.0,14,60.87
